p_id,request_t,trip_d,trip_t,VoT,fare,prefer_EV
4017,25122,16245.696291518314,1485,0.00956388888888889,22.3,True
4018,25126,8028.080614440865,943,0.009069444444444444,15.07,True
4019,25126,2277.6572520589143,245,0.009044444444444445,5.77,True
4020,25135,16413.337263413363,1542,0.009252777777777778,23.06,True
4021,25137,18696.80042979839,1626,0.007538888888888889,24.18,True
4022,25143,6254.226039934757,522,0.00958888888888889,9.46,True
4023,25152,8431.771383808296,733,0.007825,12.27,True
4024,25156,14988.42184716564,1324,0.008669444444444445,20.15,True
4025,25160,3586.344894470508,349,0.008983333333333334,7.15,True
4026,25167,6072.029980446427,688,0.009872222222222221,11.67,True
4027,25170,11246.215958542432,997,0.006877777777777778,15.79,True
4028,25172,8815.604959666136,743,0.010080555555555556,12.41,True
4029,25179,5999.55263991084,676,0.008269444444444444,11.51,True
4030,25188,16208.134311059432,1815,0.009008333333333333,26.7,True
4031,25213,6420.165974057812,593,0.010063888888888888,10.41,True
4032,25223,12900.82908230483,1114,0.009099999999999999,17.35,True
4033,25239,9808.313091810189,799,0.009733333333333333,13.15,True
4034,25241,11696.691442721749,989,0.010141666666666667,15.69,True
4035,25251,4353.326893873463,393,0.008530555555555555,7.74,True
4036,25265,14704.983826704927,1326,0.00793611111111111,20.18,True
4037,25267,4669.496158932355,426,0.009738888888888889,8.18,True
4038,25272,7168.940423739411,635,0.009752777777777777,10.97,True
4039,25278,10247.108087112949,1156,0.010358333333333332,17.91,True
4040,25284,6190.250555815777,535,0.008258333333333333,9.63,True
4041,25285,6757.0147983780425,637,0.009066666666666667,10.99,True
4042,25297,6596.363395488328,762,0.01041111111111111,12.66,True
4043,25298,9879.951646582123,1033,0.007508333333333334,16.27,True
